mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,split3_test_score,split4_test_score
5.560256004333496,0.6871620078066593,0.093400239944458,0.013896705043345,0.9,10.0,10.0,250,5,13,0.07,0.0,0.7,-1596794624.0,-600500992.0,-592121728.0,-929805781.3333334,471644739.3237556,11,0.9,10.0,10.0,250,5,13,0.07,0.0,0.7,,
2.539259195327759,0.1780411131758749,0.0801010131835937,0.0114364288539719,0.7,1.0,0.02,200,10,11,0.1,0.4,0.7,-1587932672.0,-647684480.0,-638720960.0,-958112704.0,445365004.0445016,48,0.7,1.0,0.02,200,10,11,0.1,0.4,0.7,,
8.540486256281534,0.2805006504507932,0.1018439133961995,0.0065482152254739,0.6,0.1,10.0,700,5,11,0.05,0.2,0.6,-1570348544.0,-610301696.0,-623170048.0,-934606762.6666666,449568020.82329273,15,0.6,0.1,10.0,700,5,11,0.05,0.2,0.6,,
11.407153526941936,0.1357082985318368,0.0998593966166178,0.0054380822587341,0.6,1.0,10.0,550,1,11,0.01,0.0,0.8,-1626455040.0,-661330432.0,-610248000.0,-966011157.3333334,467469746.1359576,58,0.6,1.0,10.0,550,1,11,0.01,0.0,0.8,,
2.6925233205159507,0.0102975919769061,0.0837838649749755,0.0042143352043136,0.7,10.0,0.02,750,10,6,0.07,0.5,0.6,-1592645376.0,-617435904.0,-606318848.0,-938800042.6666666,462360744.5670247,26,0.7,10.0,0.02,750,10,6,0.07,0.5,0.6,,
48.071982542673744,1.0666211710659446,0.1718486150105794,0.0117599996605007,0.9,1.0,10.0,600,5,16,0.01,0.4,0.6,-1615672704.0,-613922752.0,-605502720.0,-945032725.3333334,474226535.1596152,32,0.9,1.0,10.0,600,5,16,0.01,0.4,0.6,,
16.367618242899578,0.1841411321979089,0.1165592670440673,0.0047793883414319,0.8,1.0,0.0,400,5,13,0.01,0.2,0.8,-1654012416.0,-664362688.0,-624672704.0,-981015936.0,476156151.0518532,69,0.8,1.0,0.0,400,5,13,0.01,0.2,0.8,,
13.444493214289349,0.1243293139606502,0.1396419207255045,0.0201284974973665,0.8,0.1,0.1,900,1,10,0.01,0.0,0.6,-1618973056.0,-637678272.0,-607606016.0,-954752448.0,469835323.7849404,41,0.8,0.1,0.1,900,1,10,0.01,0.0,0.6,,
4.181345701217651,0.1588026411835283,0.0863817532857259,0.009987403444489,0.9,10.0,0.02,400,10,11,0.05,0.5,0.7,-1585185408.0,-588826880.0,-589920448.0,-921310912.0,469430370.2731522,4,0.9,10.0,0.02,400,10,11,0.05,0.5,0.7,,
5.975485165913899,0.1288359312356278,0.095768133799235,0.0125461508409815,0.9,0.1,0.0,550,1,9,0.01,0.5,0.7,-1642744960.0,-670656384.0,-634445696.0,-982615680.0,467015919.22642,71,0.9,0.1,0.0,550,1,9,0.01,0.5,0.7,,
