mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
2.836074193318685,0.1564707727757547,0.0881497065226237,0.006461664633752732,0.7,10.0,0.02,750,10,6,0.07,0.5,0.6,-1633096320.0,-645878080.0,-618700096.0,-965891498.6666666,471915505.0863873,32,0.7,10.0,0.02,750,10,6,0.07,0.5,0.6
51.26248081525167,1.7070753628427013,0.20036490758260092,0.022839301702166283,0.9,1.0,10.0,600,5,16,0.01,0.4,0.6,-1625871872.0,-645040832.0,-609185792.0,-960032832.0,471046789.1582474,25,0.9,1.0,10.0,600,5,16,0.01,0.4,0.6
17.147084792455036,0.30041668023472956,0.11417921384175618,0.0034204232138358554,0.8,1.0,0.0,400,5,13,0.01,0.2,0.8,-1670733696.0,-698941184.0,-633336320.0,-1001003733.3333334,474327360.0339999,65,0.8,1.0,0.0,400,5,13,0.01,0.2,0.8
14.239837249120077,0.192473314670242,0.12725273768107095,0.009298259829298411,0.8,0.1,0.1,900,1,10,0.01,0.0,0.6,-1625766272.0,-682196160.0,-619367424.0,-975776618.6666666,460327256.4868965,42,0.8,0.1,0.1,900,1,10,0.01,0.0,0.6
3.7347165743509927,0.10652844339925789,0.08848953247070312,0.005534444882406409,0.9,10.0,0.02,400,10,11,0.05,0.5,0.7,-1622513664.0,-615722176.0,-597897216.0,-945377685.3333334,478862737.81631047,6,0.9,10.0,0.02,400,10,11,0.05,0.5,0.7
5.599521080652873,0.05404030424651065,0.10293142000834148,0.0029567175174868405,0.9,0.1,0.0,550,1,9,0.01,0.5,0.7,-1665253632.0,-731374912.0,-638582784.0,-1011737109.3333334,463656107.33490896,74,0.9,0.1,0.0,550,1,9,0.01,0.5,0.7
32.560196002324425,3.1370828399563893,0.15080523490905762,0.002987545202697599,1.0,10.0,1.0,500,1,15,0.07,0.2,0.8,-1670313216.0,-673624512.0,-616007616.0,-986648448.0,483995911.0912261,50,1.0,10.0,1.0,500,1,15,0.07,0.2,0.8
4.614142497380574,0.015717710440026695,0.07687783241271973,0.00255424393033162,0.6,0.0,0.1,100,5,14,0.05,0.1,0.7,-1658049152.0,-681846272.0,-650892352.0,-996929258.6666666,467653127.37230796,62,0.6,0.0,0.1,100,5,14,0.05,0.1,0.7
0.720740000406901,0.003215981226034765,0.0710133711496989,0.006831565799786987,0.6,0.0,0.1,150,1,6,0.01,0.5,0.7,-2350724352.0,-1438317824.0,-1402220928.0,-1730421034.6666667,438868165.92705244,99,0.6,0.0,0.1,150,1,6,0.01,0.5,0.7
9.873974402745565,0.4823300176467511,0.11296947797139485,0.0040187878000910735,0.6,0.0,1.0,950,10,12,0.05,0.5,0.6,-1601200000.0,-632376192.0,-608286208.0,-947287466.6666666,462490564.06236976,8,0.6,0.0,1.0,950,10,12,0.05,0.5,0.6
